#For superellipsoids (12 columns:rx	ry	rz	eps1	eps2	x	y	z	q0	q1	q2	q3)
3.524455e-04	3.498619e-04	2.251219e-04	1.638198e+00	8.647231e-01	5.981857e-03	2.132293e-03	3.428167e-03	-3.262458e-01	8.548679e-01	-3.616183e-01	-1.788763e-01
2.929577e-04	4.409811e-04	4.257533e-04	1.513963e+00	7.281541e-01	5.903302e-03	3.760553e-03	5.205760e-03	1.671669e-01	-3.350146e-01	-8.251210e-01	4.230790e-01
2.674618e-04	2.760879e-04	2.098216e-04	1.441222e+00	8.059177e-01	4.398487e-03	5.126171e-03	2.030053e-03	-6.109054e-01	1.449310e-01	-6.382850e-01	4.454008e-01
2.410006e-04	4.313027e-04	4.196890e-04	1.568232e+00	1.588261e+00	3.669895e-03	6.903775e-03	6.559412e-03	-4.616936e-01	-3.818714e-01	3.205482e-01	7.336635e-01
2.657899e-04	2.431559e-04	3.985325e-04	1.364729e+00	1.041139e+00	4.512758e-03	5.759160e-03	4.211480e-03	-8.315011e-01	1.737028e-01	-3.537544e-01	-3.915240e-01
2.500003e-04	4.451745e-04	2.845557e-04	1.334708e+00	7.643354e-01	2.062967e-03	2.115198e-03	2.680631e-03	4.175003e-01	-5.739890e-01	-4.237186e-01	5.627545e-01
3.965714e-04	3.718328e-04	2.620959e-04	1.694910e+00	9.990400e-01	5.849079e-03	6.838296e-03	2.165984e-03	-6.797992e-01	-3.267024e-01	-5.626386e-01	-3.384915e-01
3.738406e-04	2.400048e-04	4.050753e-04	1.338981e+00	9.620867e-01	5.163353e-03	7.297701e-03	2.806140e-03	9.862252e-01	3.258771e-02	-1.279346e-01	-9.965295e-02
3.086502e-04	3.341552e-04	3.696090e-04	1.419006e+00	1.234086e+00	7.052850e-03	6.703502e-03	7.465749e-03	3.139460e-01	3.652258e-01	-1.562959e-01	-8.623338e-01
2.535932e-04	3.061645e-04	3.374415e-04	1.698671e+00	6.870689e-01	2.052164e-03	3.216936e-03	5.127048e-03	-4.181818e-01	1.841974e-01	6.332923e-01	6.246087e-01
2.437379e-04	3.863815e-04	2.522298e-04	1.463038e+00	1.171802e+00	7.083344e-03	6.921965e-03	3.633673e-03	-4.190980e-01	-8.071944e-02	-3.135549e-01	-8.482479e-01
2.105511e-04	3.820236e-04	2.454350e-04	9.803465e-01	1.064116e+00	3.234478e-03	2.680223e-03	7.476029e-03	9.162721e-01	-2.626953e-01	-2.052900e-01	2.220194e-01
